,Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
89,1917,physics,Charles Glover Barkla,7 June 1877,Widnes,United Kingdom,," Edinburgh University, Edinburgh, United Kingdom", Atomic physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1917 was awarded to Charles Glover Barkla for his discovery of the characteristic Röntgen radiation of the elements.
90,1918,chemistry,Fritz Haber,9 December 1868,Breslau (now Wroclaw),Prussia (now Poland),," Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie, Berlin-Dahlem, Germany"," Inorganic chemistry, industrial chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1918 was awarded to Fritz Haber for the synthesis of ammonia from its elements.
91,1918,physics,Max Karl Ernst Ludwig Planck,23 April 1858,Kiel,Schleswig (now Germany),," Berlin University, Berlin, Germany", Quantum mechanics,The Nobel Prize in Physics,The Nobel Prize in Physics 1918 was awarded to Max Planck in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta.
92,1919,literature,Carl Friedrich Georg Spitteler,24 April 1845,Liestal,Switzerland,Switzerland,, German,The Nobel Prize in Literature,"The Nobel Prize in Literature 1919 was awarded to Carl Spitteler in special appreciation of his epic, Olympian Spring."
93,1919,medicine,Jules Bordet,13 June 1870,Soignies,Belgium,," Brussels University, Brussels, Belgium",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1919 was awarded to Jules Bordet for his discoveries relating to immunity.
94,1919,peace,Thomas Woodrow Wilson,28 December 1856,Staunton VA,USA,USA," Founder of the League of Nations, President of United States of America", World organizing,The Nobel Peace Prize,The Nobel Peace Prize 1919 was awarded to Woodrow Wilson.
95,1919,physics,Johannes Stark,15 April 1874,Schickenhof,Germany,," Greifswald University, Greifswald, Germany", Atomic physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1919 was awarded to Johannes Stark for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields.
96,1920,chemistry,Walther Hermann Nernst,25 June 1864,Briesen,Prussia (now Germany),," Berlin University, Berlin, Germany"," Physical chemistry, chemical thermodynamics",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1920 was awarded to Walther Nernst in recognition of his work in thermochemistry.
97,1920,literature,Knut Pedersen Hamsun,4 August 1895,Lom,Norway,Norway,, Norwegian,The Nobel Prize in Literature,"The Nobel Prize in Literature 1920 was awarded to Knut Hamsun for his monumental work, Growth of the Soil."
98,1920,medicine,Schack August Steenberg Krogh,15 November 1874,Grenå,Denmark,," Copenhagen University, Copenhagen, Denmark",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1920 was awarded to August Krogh for his discovery of the capillary motor regulating mechanism.
99,1920,peace,Léon Victor Auguste Bourgeois,21 May 1851,Paris,France,France," President, Conseil de la Société des Nations (Council of the League of Nations), President, French Parliament (Sénat), i.a. ex-Secretary of State", World organizing,The Nobel Peace Prize,The Nobel Peace Prize 1920 was awarded to Léon Bourgeois.
100,1920,physics,Charles Edouard Guillaume,15 February 1861,Fleurier,Switzerland,," Bureau International des Poids et Mesures (International Bureau of Weights and Measures), Sèvres, France", Metals,The Nobel Prize in Physics,The Nobel Prize in Physics 1920 was awarded to Charles Edouard Guillaume in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys.
101,1921,chemistry,Frederick Soddy,2 September 1877,Eastbourne,United Kingdom,," University of Oxford, Oxford, United Kingdom", Nuclear chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1921 was awarded to Frederick Soddy for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes."
102,1921,literature,Anatole France,16 April 1844,Paris,France,France,, French,The Nobel Prize in Literature,"The Nobel Prize in Literature 1921 was awarded to Anatole France in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament."
103,1921,peace,Christian Lous Lange,17 September 1869,Stavanger,Norway,Norway," Secretary General of Inter-Parliamentary Union, Brussels", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1921 was awarded jointly to Karl Hjalmar Branting and Christian Lous Lange
104,1921,peace,Karl Hjalmar Branting,23 November 1860,Stockholm,Sweden,Sweden," Swedish Delegate, Conseil de la Société des Nations, Prime Minister"," World organizing, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1921 was awarded jointly to Karl Hjalmar Branting and Christian Lous Lange
105,1921,physics,Albert Einstein,14 March 1879,Ulm,Germany,," Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik, Berlin, Germany", Theoretical physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1921 was awarded to Albert Einstein for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect."
106,1922,chemistry,Francis William Aston,1 September 1877,Harborne,United Kingdom,," University of Cambridge, Cambridge, United Kingdom", Physical chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1922 was awarded to Francis W. Aston for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule."
107,1922,literature,Jacinto Benavente,12 August 1866,Madrid,Spain,Spain,, Spanish,The Nobel Prize in Literature,The Nobel Prize in Literature 1922 was awarded to Jacinto Benavente for the happy manner in which he has continued the illustrious traditions of the Spanish drama.
108,1922,medicine,Archibald Vivian Hill,26 September 1886,Bristol,United Kingdom,," London University, London, United Kingdom",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1922 was divided equally between Archibald Vivian Hill for his discovery relating to the production of heat in the muscle and Otto Fritz Meyerhof for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle.
109,1922,medicine,Otto Fritz Meyerhof,12 April 1884,Hanover,Germany,," Kiel University, Kiel, Germany",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1922 was divided equally between Archibald Vivian Hill for his discovery relating to the production of heat in the muscle and Otto Fritz Meyerhof for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle.
110,1922,peace,Fridtjof Nansen,10 October 1861,Kristiania (now Oslo),Norway,Norway," Originator of Nansen passports (for refugees), Norwegian Delegate, Société des Nations, Explorer, Scientist", Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1922 was awarded to Fridtjof Nansen.
111,1922,physics,Niels Henrik David Bohr,7 October 1885,Copenhagen,Denmark,," Copenhagen University, Copenhagen, Denmark", Theoretical nuclear physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1922 was awarded to Niels Bohr for his services in the investigation of the structure of atoms and of the radiation emanating from them.
112,1923,chemistry,Fritz Pregl,3 September 1869,Laibach (now Ljubljana),Austria-Hungary (now Slovenia),," Graz University, Graz, Austria", Analytical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1923 was awarded to Fritz Pregl for his invention of the method of micro-analysis of organic substances.
113,1923,literature,William Butler Yeats,13 June 1865,Dublin,Ireland,Ireland,, English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1923 was awarded to William Butler Yeats for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation."
114,1923,medicine,Frederick Grant Banting,14 November 1891,Alliston,Canada,," University of Toronto, Toronto, Canada",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1923 was awarded jointly to Frederick Grant Banting and John James Rickard Macleod for the discovery of insulin
115,1923,medicine,John James Rickard Macleod,6 September 1876,Cluny,Scotland,," University of Toronto, Toronto, Canada",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1923 was awarded jointly to Frederick Grant Banting and John James Rickard Macleod for the discovery of insulin
116,1923,physics,Robert Andrews Millikan,22 March 1868,Morrison IL,USA,," California Institute of Technology (Caltech), Pasadena, CA, USA"," Particle physics, electromagnetism",The Nobel Prize in Physics,The Nobel Prize in Physics 1923 was awarded to Robert A. Millikan for his work on the elementary charge of electricity and on the photoelectric effect.
117,1924,literature,Wladyslaw Stanislaw Reymont,7 May 1867,Kobiele Wielkie,Russian Empire (now Poland),Poland,, Polish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1924 was awarded to Wladyslaw Reymont for his great national epic, The Peasants."
118,1924,medicine,Willem Einthoven,21 May 1860,Semarang Java,Dutch East Indies (now Indonesia),," Leiden University, Leiden, the Netherlands",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1924 was awarded to Willem Einthoven for his discovery of the mechanism of the electrocardiogram.
119,1924,physics,Karl Manne Georg Siegbahn,3 December 1886,Lund,Sweden,," Uppsala University, Uppsala, Sweden", Atomic physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1924 was awarded to Manne Siegbahn for his discoveries and research in the field of X-ray spectroscopy.
120,1925,chemistry,Richard Adolf Zsigmondy,1 April 1865,Vienna,Austrian Empire (now Austria),," Goettingen University, Goettingen, Germany"," Physical chemistry, colloidal chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1925 was awarded to Richard Zsigmondy for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry."
121,1925,literature,George Bernard Shaw,26 July 1856,Dublin,Ireland,United Kingdom,, English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1925 was awarded to George Bernard Shaw for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty."
122,1925,peace,Charles Gates Dawes,27 August 1865,Marietta OH,USA,USA," Chairman of Allied Reparation Commission (Originator of Dawes Plan), Vice-President of United States of America", Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1925 was awarded jointly to Sir Austen Chamberlain and Charles Gates Dawes
123,1925,peace,Sir Austen Chamberlain,16 October 1863,Birmingham,United Kingdom,United Kingdom," Part-originator of Locarno Pact, Foreign Secretary", Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1925 was awarded jointly to Sir Austen Chamberlain and Charles Gates Dawes
124,1925,physics,Gustav Ludwig Hertz,22 July 1887,Hamburg,Germany,," Halle University, Halle, Germany", Atomic physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1925 was awarded jointly to James Franck and Gustav Ludwig Hertz for their discovery of the laws governing the impact of an electron upon an atom
